DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:57:02,372.30,372.30,372.30,372.30,30,374.72
20-Dec-2019,15:55:37,372.30,372.30,372.30,372.30,10,374.72
20-Dec-2019,15:54:07,372.30,372.30,372.30,372.30,70,374.72
20-Dec-2019,15:50:21,372.30,372.30,372.30,372.30,6,374.72
20-Dec-2019,15:49:33,372.30,372.30,372.30,372.30,75,374.72
20-Dec-2019,15:46:59,372.30,372.30,372.30,372.30,2,374.72
20-Dec-2019,15:45:48,372.30,372.30,372.30,372.30,27,374.72
20-Dec-2019,15:43:48,372.30,372.30,372.30,372.30,18,374.72
20-Dec-2019,15:42:52,372.30,372.30,372.30,372.30,465,374.72
20-Dec-2019,15:41:46,372.30,372.30,372.30,372.30,83,374.72
20-Dec-2019,15:40:37,372.30,372.30,372.30,372.30,1202,374.72
20-Dec-2019,15:29:59,372.00,372.30,371.30,372.30,40098,374.72
20-Dec-2019,15:28:58,371.75,372.20,371.65,372.00,55807,374.73
20-Dec-2019,15:27:56,372.05,372.05,371.70,371.80,96201,374.74
20-Dec-2019,15:26:59,372.00,372.10,372.00,372.05,74563,374.77
20-Dec-2019,15:25:59,372.20,372.20,372.00,372.00,50102,374.79
20-Dec-2019,15:24:59,371.85,372.35,371.80,372.20,83167,374.80
20-Dec-2019,15:23:59,371.70,371.90,371.70,371.90,115022,374.82
20-Dec-2019,15:22:59,371.50,371.80,371.50,371.70,183505,374.86
20-Dec-2019,15:21:59,371.75,371.80,371.50,371.50,109167,374.91
20-Dec-2019,15:20:58,372.00,372.00,371.80,371.80,92952,374.95
20-Dec-2019,15:19:59,371.90,372.00,371.80,371.95,57705,374.98
20-Dec-2019,15:18:59,371.85,371.95,371.85,371.90,102797,375.00
20-Dec-2019,15:17:59,371.90,372.05,371.90,371.95,115295,375.03
20-Dec-2019,15:16:59,372.30,372.35,371.90,371.95,95963,375.07
20-Dec-2019,15:15:59,372.50,372.50,372.15,372.35,117476,375.10
20-Dec-2019,15:14:59,372.65,372.65,372.50,372.50,122703,375.13
20-Dec-2019,15:13:58,372.75,372.80,372.65,372.70,60716,375.16
20-Dec-2019,15:12:58,372.75,372.90,372.75,372.80,79281,375.18
20-Dec-2019,15:11:58,372.80,372.90,372.70,372.80,76019,375.20
20-Dec-2019,15:10:58,372.90,372.95,372.75,372.85,95522,375.22
20-Dec-2019,15:09:59,372.70,372.90,372.55,372.90,82284,375.25
20-Dec-2019,15:08:59,372.30,372.75,372.30,372.70,108645,375.27
20-Dec-2019,15:07:59,372.45,372.75,372.35,372.45,137679,375.30
20-Dec-2019,15:06:59,372.40,372.50,372.20,372.50,98392,375.35
20-Dec-2019,15:05:58,372.45,372.45,372.15,372.40,70132,375.38
20-Dec-2019,15:04:58,373.10,373.10,372.35,372.45,70722,375.41
20-Dec-2019,15:03:59,373.40,373.45,373.00,373.10,56383,375.43
20-Dec-2019,15:02:59,373.85,373.85,373.40,373.40,60905,375.45
20-Dec-2019,15:01:58,373.85,373.90,373.80,373.85,33547,375.46
20-Dec-2019,15:00:58,373.65,373.90,373.60,373.85,26690,375.47
20-Dec-2019,14:59:58,373.80,373.80,373.50,373.60,5180,375.47
20-Dec-2019,14:58:59,373.95,373.95,373.50,373.80,16457,375.47
20-Dec-2019,14:57:58,374.15,374.15,373.85,373.95,6335,375.47
20-Dec-2019,14:56:58,373.80,374.15,373.70,374.15,34650,375.48
20-Dec-2019,14:55:58,373.95,374.00,373.75,373.80,7944,375.48
20-Dec-2019,14:54:59,373.65,374.00,373.50,374.00,12676,375.48
20-Dec-2019,14:53:58,373.70,373.80,373.55,373.65,4790,375.49
20-Dec-2019,14:52:58,373.35,373.90,373.35,373.70,19766,375.49
20-Dec-2019,14:51:58,373.15,373.40,373.05,373.30,8765,375.49
20-Dec-2019,14:50:58,373.15,373.15,373.00,373.15,4610,375.49
20-Dec-2019,14:49:59,373.00,373.15,373.00,373.10,5947,375.50
20-Dec-2019,14:48:58,372.95,373.25,372.75,373.15,11347,375.50
20-Dec-2019,14:47:58,372.80,373.05,372.75,372.95,12570,375.50
20-Dec-2019,14:46:58,373.00,373.00,372.70,372.70,8215,375.51
20-Dec-2019,14:45:58,373.00,373.20,372.85,372.85,5623,375.51
20-Dec-2019,14:44:58,373.00,373.15,372.85,372.90,5257,375.51
20-Dec-2019,14:43:58,373.10,373.10,372.80,373.00,6749,375.51
20-Dec-2019,14:42:58,372.95,373.15,372.90,373.10,5864,375.51
20-Dec-2019,14:41:58,373.05,373.05,372.80,372.95,7023,375.52
20-Dec-2019,14:40:58,373.20,373.20,373.00,373.05,3562,375.52
20-Dec-2019,14:39:58,372.95,373.20,372.90,373.20,3161,375.52
20-Dec-2019,14:38:58,372.75,373.15,372.65,373.00,7492,375.52
20-Dec-2019,14:37:58,372.85,372.95,372.70,372.90,6535,375.52
20-Dec-2019,14:36:59,373.00,373.00,372.80,372.85,3985,375.52
20-Dec-2019,14:35:58,373.00,373.00,372.80,373.00,5360,375.53
20-Dec-2019,14:34:59,373.00,373.05,372.60,373.00,17292,375.53
20-Dec-2019,14:33:59,373.70,373.70,373.15,373.25,5171,375.53
20-Dec-2019,14:32:59,373.25,373.75,373.25,373.70,7715,375.54
20-Dec-2019,14:31:59,373.50,373.55,373.15,373.35,9120,375.54
20-Dec-2019,14:30:59,373.90,373.90,373.60,373.65,6238,375.54
20-Dec-2019,14:29:58,374.05,374.20,373.80,373.95,8333,375.54
20-Dec-2019,14:28:59,374.40,374.40,373.75,374.05,14447,375.54
20-Dec-2019,14:27:59,374.50,374.50,374.20,374.30,12053,375.55
20-Dec-2019,14:26:59,373.95,374.50,373.95,374.45,23227,375.55
20-Dec-2019,14:25:58,373.70,374.00,373.60,374.00,23649,375.55
20-Dec-2019,14:24:58,373.90,373.90,373.45,373.70,6501,375.56
20-Dec-2019,14:23:58,373.65,373.90,373.65,373.80,12877,375.56
20-Dec-2019,14:22:59,373.65,373.80,373.60,373.65,9240,375.56
20-Dec-2019,14:21:59,373.85,373.85,373.45,373.65,14886,375.56
20-Dec-2019,14:20:59,373.30,373.90,373.10,373.85,23332,375.57
20-Dec-2019,14:19:59,372.85,373.35,372.85,373.30,19596,375.57
20-Dec-2019,14:18:58,373.05,373.15,372.95,373.00,5954,375.58
20-Dec-2019,14:17:58,372.90,373.15,372.65,373.00,10516,375.58
20-Dec-2019,14:16:59,373.25,373.40,372.85,373.00,5550,375.58
20-Dec-2019,14:15:58,372.35,373.35,372.25,373.25,58197,375.59
20-Dec-2019,14:14:58,372.35,372.35,372.25,372.35,4247,375.61
20-Dec-2019,14:13:59,372.00,372.45,372.00,372.35,10936,375.61
20-Dec-2019,14:12:58,371.90,372.40,371.90,372.10,14903,375.61
20-Dec-2019,14:11:58,372.15,372.30,371.85,372.00,15213,375.62
20-Dec-2019,14:10:58,371.80,372.20,371.80,372.20,9980,375.63
20-Dec-2019,14:09:58,371.70,372.00,371.70,372.00,12488,375.63
20-Dec-2019,14:08:58,371.75,371.80,371.50,371.80,19851,375.64
20-Dec-2019,14:07:59,371.65,371.85,371.45,371.70,37809,375.65
20-Dec-2019,14:06:58,372.20,372.20,371.95,371.95,31031,375.67
20-Dec-2019,14:05:58,372.40,372.45,372.20,372.30,6138,375.68
20-Dec-2019,14:04:58,372.50,372.60,372.35,372.45,15647,375.69
20-Dec-2019,14:03:58,372.50,372.50,372.45,372.45,11313,375.69
20-Dec-2019,14:02:58,372.50,372.50,372.45,372.50,8096,375.70
20-Dec-2019,14:01:58,372.45,372.55,372.40,372.50,8347,375.70
20-Dec-2019,14:00:58,372.45,372.55,372.45,372.55,7746,375.70
20-Dec-2019,13:59:58,372.35,372.55,372.25,372.50,11866,375.71
20-Dec-2019,13:58:58,372.45,372.55,372.45,372.45,15512,375.71
20-Dec-2019,13:57:59,372.55,372.60,372.30,372.40,23548,375.72
20-Dec-2019,13:56:59,372.40,372.60,372.30,372.55,20855,375.73
20-Dec-2019,13:55:59,372.80,373.00,372.25,372.35,33228,375.74
20-Dec-2019,13:54:58,372.85,372.95,372.75,372.80,4670,375.75
20-Dec-2019,13:53:58,372.95,373.00,372.80,372.90,8410,375.75
20-Dec-2019,13:52:59,373.25,373.35,372.90,373.00,10976,375.76
20-Dec-2019,13:51:58,373.35,373.45,373.20,373.25,5016,375.76
20-Dec-2019,13:50:58,373.50,373.50,373.25,373.35,8983,375.76
20-Dec-2019,13:49:58,373.55,373.55,373.25,373.50,3905,375.77
20-Dec-2019,13:48:58,373.30,373.70,373.30,373.55,19545,375.77
20-Dec-2019,13:47:58,373.30,373.35,373.20,373.25,5777,375.77
20-Dec-2019,13:46:58,373.60,373.60,373.20,373.35,5856,375.78
