DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:52:07,1799.25,1799.25,1799.25,1799.25,10,1800.23
20-Dec-2019,15:44:15,1799.25,1799.25,1799.25,1799.25,20,1800.23
20-Dec-2019,15:29:59,1801.00,1808.00,1799.25,1799.25,13343,1800.23
20-Dec-2019,15:28:58,1801.40,1804.90,1800.10,1801.45,10374,1800.20
20-Dec-2019,15:27:57,1806.00,1806.25,1801.20,1802.25,18394,1800.20
20-Dec-2019,15:26:59,1801.00,1805.00,1801.00,1804.50,26453,1800.14
20-Dec-2019,15:25:59,1800.35,1801.40,1800.20,1801.35,16080,1800.08
20-Dec-2019,15:24:58,1799.95,1801.55,1799.95,1800.40,22930,1800.07
20-Dec-2019,15:23:59,1800.00,1800.20,1799.95,1799.95,21386,1800.07
20-Dec-2019,15:22:58,1797.60,1800.50,1797.60,1799.70,21947,1800.08
20-Dec-2019,15:21:59,1798.80,1798.85,1797.35,1797.60,13158,1800.09
20-Dec-2019,15:20:59,1798.85,1798.90,1798.70,1798.90,15312,1800.11
20-Dec-2019,15:19:58,1798.75,1799.40,1798.65,1798.90,9022,1800.13
20-Dec-2019,15:18:58,1798.30,1799.45,1798.30,1798.85,10590,1800.14
20-Dec-2019,15:17:59,1796.75,1798.95,1796.75,1798.30,19295,1800.15
20-Dec-2019,15:16:59,1797.00,1797.15,1796.80,1797.00,16998,1800.20
20-Dec-2019,15:15:58,1797.95,1798.55,1797.00,1797.00,12366,1800.24
20-Dec-2019,15:14:59,1798.25,1798.55,1797.00,1797.95,17852,1800.27
20-Dec-2019,15:13:58,1798.45,1798.45,1798.25,1798.25,8133,1800.32
20-Dec-2019,15:12:59,1797.40,1798.75,1797.40,1798.40,10348,1800.33
20-Dec-2019,15:11:58,1796.00,1798.30,1796.00,1797.40,18320,1800.35
20-Dec-2019,15:10:59,1796.95,1797.00,1796.00,1796.05,19788,1800.41
20-Dec-2019,15:09:58,1798.00,1798.00,1796.95,1796.95,11178,1800.48
20-Dec-2019,15:08:59,1799.90,1799.90,1798.00,1798.00,8712,1800.52
20-Dec-2019,15:07:59,1799.90,1800.00,1798.70,1799.95,14140,1800.52
20-Dec-2019,15:06:59,1799.55,1800.00,1797.80,1799.30,15802,1800.54
20-Dec-2019,15:05:59,1797.95,1800.00,1797.70,1799.60,6402,1800.56
20-Dec-2019,15:04:59,1797.25,1798.60,1797.25,1797.95,18607,1800.57
20-Dec-2019,15:03:58,1799.35,1799.40,1797.25,1797.25,13110,1800.63
20-Dec-2019,15:02:59,1799.55,1799.60,1799.35,1799.40,7646,1800.66
20-Dec-2019,15:01:59,1798.15,1800.00,1798.10,1799.60,9641,1800.67
20-Dec-2019,15:00:59,1800.25,1801.20,1798.90,1798.90,13555,1800.68
20-Dec-2019,14:59:59,1801.00,1801.05,1800.25,1800.25,4422,1800.69
20-Dec-2019,14:58:59,1801.00,1801.05,1801.00,1801.05,2269,1800.69
20-Dec-2019,14:57:59,1800.50,1802.00,1800.25,1801.00,2975,1800.69
20-Dec-2019,14:56:59,1800.15,1800.50,1800.15,1800.50,1789,1800.68
20-Dec-2019,14:55:59,1800.00,1800.85,1800.00,1800.15,3173,1800.69
20-Dec-2019,14:54:57,1798.55,1799.65,1798.55,1799.65,1633,1800.69
20-Dec-2019,14:53:58,1798.90,1798.90,1798.50,1798.55,1300,1800.69
20-Dec-2019,14:52:59,1798.90,1799.15,1798.50,1798.60,1137,1800.69
20-Dec-2019,14:51:59,1798.90,1798.95,1798.90,1798.90,643,1800.70
20-Dec-2019,14:50:58,1798.65,1799.40,1798.40,1798.85,972,1800.70
20-Dec-2019,14:49:57,1798.45,1799.50,1798.05,1798.45,920,1800.70
20-Dec-2019,14:48:58,1797.30,1799.90,1797.00,1799.30,2395,1800.70
20-Dec-2019,14:47:58,1797.85,1798.00,1797.35,1797.35,642,1800.71
20-Dec-2019,14:46:58,1797.65,1798.25,1797.50,1797.85,2338,1800.71
20-Dec-2019,14:45:59,1798.05,1798.25,1797.50,1797.65,2463,1800.72
20-Dec-2019,14:44:56,1798.50,1798.60,1797.60,1798.25,1274,1800.72
20-Dec-2019,14:43:58,1798.00,1798.35,1796.70,1798.35,6854,1800.73
20-Dec-2019,14:42:58,1799.60,1800.00,1798.10,1798.10,3726,1800.75
20-Dec-2019,14:41:56,1799.05,1799.95,1799.05,1799.50,1306,1800.76
20-Dec-2019,14:40:59,1799.20,1799.70,1798.75,1799.05,1612,1800.76
20-Dec-2019,14:39:59,1800.00,1800.00,1798.95,1799.30,2296,1800.76
20-Dec-2019,14:38:58,1800.00,1800.95,1800.00,1800.05,3176,1800.76
20-Dec-2019,14:37:59,1800.10,1800.50,1800.00,1800.00,3337,1800.77
20-Dec-2019,14:36:59,1800.45,1800.65,1800.00,1800.50,1668,1800.77
20-Dec-2019,14:35:58,1799.65,1801.85,1799.15,1800.60,4028,1800.77
20-Dec-2019,14:34:57,1800.10,1800.40,1800.00,1800.00,2151,1800.77
20-Dec-2019,14:33:57,1801.20,1801.30,1800.15,1800.60,1277,1800.77
20-Dec-2019,14:32:58,1801.60,1802.00,1801.10,1801.15,1937,1800.77
20-Dec-2019,14:31:58,1803.00,1803.05,1802.00,1802.00,3640,1800.77
20-Dec-2019,14:30:59,1803.05,1804.05,1803.00,1803.00,3343,1800.76
20-Dec-2019,14:29:59,1805.50,1805.60,1803.20,1803.75,3025,1800.75
20-Dec-2019,14:28:59,1805.60,1806.00,1805.00,1805.50,3039,1800.74
20-Dec-2019,14:27:58,1805.30,1806.55,1805.00,1806.00,3916,1800.72
20-Dec-2019,14:26:59,1803.75,1806.50,1803.55,1805.00,9645,1800.70
20-Dec-2019,14:25:58,1804.15,1804.20,1803.35,1803.35,2335,1800.66
20-Dec-2019,14:24:59,1802.50,1804.80,1801.15,1804.15,19200,1800.65
20-Dec-2019,14:23:55,1801.60,1802.90,1801.00,1802.40,5550,1800.58
20-Dec-2019,14:22:59,1799.05,1802.50,1799.00,1802.50,8336,1800.57
20-Dec-2019,14:21:57,1799.05,1799.20,1799.00,1799.05,809,1800.57
20-Dec-2019,14:20:56,1799.00,1799.30,1799.00,1799.15,1286,1800.57
20-Dec-2019,14:19:51,1797.70,1799.40,1797.65,1799.10,3702,1800.58
20-Dec-2019,14:18:59,1797.55,1797.65,1797.50,1797.65,1228,1800.59
20-Dec-2019,14:17:58,1797.55,1797.80,1797.50,1797.50,1639,1800.59
20-Dec-2019,14:16:59,1797.05,1797.55,1797.05,1797.55,868,1800.60
20-Dec-2019,14:15:57,1797.00,1797.20,1797.00,1797.05,671,1800.60
20-Dec-2019,14:14:53,1797.15,1797.15,1797.00,1797.00,1532,1800.60
20-Dec-2019,14:13:57,1797.45,1797.55,1797.00,1797.15,1012,1800.61
20-Dec-2019,14:12:54,1797.45,1797.80,1797.45,1797.45,921,1800.61
20-Dec-2019,14:11:56,1798.00,1798.30,1797.45,1797.70,1384,1800.62
20-Dec-2019,14:10:57,1797.15,1798.20,1797.05,1797.95,1219,1800.62
20-Dec-2019,14:09:57,1797.05,1798.00,1797.05,1797.95,804,1800.63
20-Dec-2019,14:08:58,1796.05,1797.80,1796.00,1797.80,2204,1800.63
20-Dec-2019,14:07:55,1797.00,1797.00,1796.10,1796.25,2931,1800.64
20-Dec-2019,14:06:59,1797.60,1798.05,1797.00,1797.00,1139,1800.65
20-Dec-2019,14:05:57,1797.00,1799.00,1797.00,1798.05,1212,1800.66
20-Dec-2019,14:04:59,1797.50,1797.50,1797.00,1797.05,579,1800.66
20-Dec-2019,14:03:53,1797.50,1797.65,1797.50,1797.65,758,1800.67
20-Dec-2019,14:02:57,1797.10,1798.50,1797.10,1797.55,1459,1800.67
20-Dec-2019,14:01:57,1797.10,1797.70,1797.10,1797.15,889,1800.67
20-Dec-2019,14:00:55,1797.00,1797.65,1796.50,1797.10,880,1800.68
20-Dec-2019,13:59:57,1797.00,1797.65,1797.00,1797.05,606,1800.68
20-Dec-2019,13:58:55,1796.70,1797.45,1796.20,1797.00,1451,1800.68
20-Dec-2019,13:57:58,1797.00,1798.00,1797.00,1797.05,971,1800.69
20-Dec-2019,13:56:58,1797.00,1797.25,1797.00,1797.00,704,1800.70
20-Dec-2019,13:55:59,1797.05,1797.95,1797.00,1797.05,789,1800.70
20-Dec-2019,13:54:56,1797.10,1798.05,1797.00,1797.25,796,1800.70
20-Dec-2019,13:53:56,1797.00,1797.45,1797.00,1797.05,2383,1800.71
20-Dec-2019,13:52:57,1797.00,1797.30,1797.00,1797.00,2674,1800.72
20-Dec-2019,13:51:59,1797.10,1797.30,1797.00,1797.05,679,1800.73
20-Dec-2019,13:50:53,1797.05,1798.00,1797.05,1797.15,881,1800.73
20-Dec-2019,13:49:54,1797.50,1798.00,1797.00,1797.05,1121,1800.74
20-Dec-2019,13:48:54,1797.00,1797.95,1797.00,1797.95,2782,1800.74
20-Dec-2019,13:47:57,1797.20,1797.20,1797.00,1797.00,537,1800.75
20-Dec-2019,13:46:53,1798.20,1798.20,1797.20,1797.20,766,1800.76
20-Dec-2019,13:45:57,1798.10,1798.20,1797.50,1798.15,870,1800.76
20-Dec-2019,13:44:58,1798.00,1799.25,1798.00,1798.15,383,1800.76
20-Dec-2019,13:43:57,1797.65,1798.70,1797.50,1798.70,625,1800.76
20-Dec-2019,13:42:58,1798.05,1798.75,1797.60,1797.75,576,1800.77
20-Dec-2019,13:41:55,1797.55,1798.95,1797.45,1798.75,623,1800.77
20-Dec-2019,13:40:57,1799.00,1799.00,1797.20,1797.75,933,1800.77
20-Dec-2019,13:39:53,1798.85,1799.50,1798.05,1799.00,631,1800.77
20-Dec-2019,13:38:57,1800.00,1800.00,1798.60,1798.80,247,1800.77
20-Dec-2019,13:37:59,1800.00,1800.90,1798.15,1800.10,12509,1800.78
20-Dec-2019,13:36:59,1797.20,1800.75,1797.20,1800.05,5403,1800.79
20-Dec-2019,13:35:56,1797.55,1797.80,1797.30,1797.50,604,1800.80
20-Dec-2019,13:34:58,1797.40,1798.75,1797.25,1797.55,1087,1800.80
20-Dec-2019,13:33:57,1797.00,1798.55,1797.00,1797.65,701,1800.80
20-Dec-2019,13:32:57,1797.00,1797.25,1797.00,1797.05,920,1800.81
20-Dec-2019,13:31:57,1796.90,1798.45,1796.50,1797.30,2614,1800.81
20-Dec-2019,13:30:57,1796.50,1796.95,1796.20,1796.30,778,1800.82
20-Dec-2019,13:29:58,1796.40,1797.65,1796.25,1796.80,985,1800.83
20-Dec-2019,13:28:52,1796.10,1797.25,1796.10,1797.25,1277,1800.83
20-Dec-2019,13:27:55,1796.60,1797.10,1796.10,1796.45,1296,1800.84
20-Dec-2019,13:26:59,1799.50,1799.50,1796.55,1796.85,3154,1800.85
20-Dec-2019,13:25:50,1799.55,1800.90,1799.45,1799.65,1427,1800.86
20-Dec-2019,13:24:57,1799.60,1800.65,1799.50,1799.50,642,1800.86
20-Dec-2019,13:23:54,1800.00,1800.40,1799.70,1799.80,463,1800.86
20-Dec-2019,13:22:57,1799.45,1800.15,1799.45,1799.65,815,1800.86
20-Dec-2019,13:21:58,1800.00,1800.45,1799.15,1799.95,1316,1800.86
20-Dec-2019,13:20:57,1800.00,1800.60,1799.60,1800.00,1392,1800.87
20-Dec-2019,13:19:59,1800.00,1800.80,1799.85,1800.75,1046,1800.87
20-Dec-2019,13:18:59,1799.65,1800.05,1799.60,1800.00,734,1800.87
20-Dec-2019,13:17:57,1799.85,1800.60,1799.55,1800.00,859,1800.87
20-Dec-2019,13:16:50,1800.55,1800.60,1799.65,1800.00,1068,1800.87
20-Dec-2019,13:15:54,1800.90,1801.00,1800.05,1800.40,840,1800.87
20-Dec-2019,13:14:52,1800.35,1801.30,1799.70,1800.45,1166,1800.87
20-Dec-2019,13:13:55,1801.15,1801.65,1800.35,1800.35,869,1800.87
20-Dec-2019,13:12:55,1801.55,1802.00,1800.25,1800.85,496,1800.87
20-Dec-2019,13:11:56,1801.80,1802.00,1801.00,1802.00,1078,1800.87
20-Dec-2019,13:10:59,1801.00,1802.55,1800.65,1801.60,1698,1800.87
20-Dec-2019,13:09:58,1800.80,1801.05,1800.20,1800.60,351,1800.87
20-Dec-2019,13:08:57,1802.25,1802.60,1800.55,1800.60,953,1800.87
20-Dec-2019,13:07:58,1800.00,1802.90,1800.00,1802.65,11047,1800.87
20-Dec-2019,13:06:58,1799.50,1800.00,1799.40,1800.00,74760,1800.87
20-Dec-2019,13:05:59,1797.05,1799.50,1797.00,1799.50,5525,1800.98
20-Dec-2019,13:04:57,1797.45,1797.80,1797.00,1797.10,765,1801.00
20-Dec-2019,13:03:59,1795.90,1799.00,1795.40,1797.50,17385,1801.01
20-Dec-2019,13:02:57,1797.80,1797.80,1796.65,1796.65,7000,1801.11
20-Dec-2019,13:01:59,1798.20,1798.20,1797.40,1797.50,4383,1801.16
20-Dec-2019,13:00:58,1797.50,1798.20,1797.50,1798.20,864,1801.18
20-Dec-2019,12:59:56,1797.75,1797.75,1797.70,1797.75,271,1801.19
20-Dec-2019,12:58:58,1797.70,1797.75,1797.50,1797.75,1081,1801.19
20-Dec-2019,12:57:55,1797.60,1797.70,1797.50,1797.70,1254,1801.19
20-Dec-2019,12:56:59,1797.60,1797.80,1797.50,1797.50,801,1801.20
20-Dec-2019,12:55:56,1798.20,1798.30,1797.60,1798.00,294,1801.21
20-Dec-2019,12:54:59,1798.00,1798.30,1797.60,1798.20,510,1801.21
20-Dec-2019,12:53:54,1797.95,1798.70,1797.10,1798.05,1914,1801.21
20-Dec-2019,12:52:54,1798.05,1798.15,1797.50,1797.95,306,1801.22
20-Dec-2019,12:51:58,1797.85,1798.05,1796.50,1798.05,2068,1801.22
20-Dec-2019,12:50:57,1798.05,1798.80,1797.65,1797.85,3258,1801.24
20-Dec-2019,12:49:59,1798.05,1798.10,1798.00,1798.10,953,1801.25
20-Dec-2019,12:48:59,1798.00,1798.05,1798.00,1798.05,732,1801.26
20-Dec-2019,12:47:57,1798.20,1798.20,1798.00,1798.05,399,1801.26
20-Dec-2019,12:46:55,1798.00,1798.25,1798.00,1798.20,488,1801.26
20-Dec-2019,12:45:58,1798.45,1798.45,1798.00,1798.25,793,1801.27
20-Dec-2019,12:44:55,1798.80,1798.95,1798.00,1798.70,385,1801.27
20-Dec-2019,12:43:54,1798.00,1799.00,1797.85,1798.50,1084,1801.27
20-Dec-2019,12:42:58,1797.75,1798.60,1797.75,1798.05,222,1801.28
20-Dec-2019,12:41:57,1798.25,1798.60,1797.65,1797.80,2195,1801.28
20-Dec-2019,12:40:59,1798.70,1799.40,1797.20,1798.25,3064,1801.29
20-Dec-2019,12:39:58,1797.70,1799.00,1797.40,1798.70,2379,1801.30
20-Dec-2019,12:38:59,1797.35,1798.00,1797.00,1797.00,231,1801.31
20-Dec-2019,12:37:58,1797.05,1798.30,1795.90,1798.00,8579,1801.31
