DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:59:31,739.85,739.85,739.85,739.85,1,741.10
20-Dec-2019,15:56:01,739.85,739.85,739.85,739.85,3,741.10
20-Dec-2019,15:55:50,739.85,739.85,739.85,739.85,30,741.10
20-Dec-2019,15:54:48,739.85,739.85,739.85,739.85,2,741.10
20-Dec-2019,15:53:23,739.85,739.85,739.85,739.85,10,741.10
20-Dec-2019,15:52:40,739.85,739.85,739.85,739.85,64,741.10
20-Dec-2019,15:51:44,739.85,739.85,739.85,739.85,5,741.10
20-Dec-2019,15:50:48,739.85,739.85,739.85,739.85,99,741.10
20-Dec-2019,15:49:58,739.85,739.85,739.85,739.85,10,741.10
20-Dec-2019,15:46:12,739.85,739.85,739.85,739.85,3,741.10
20-Dec-2019,15:45:54,739.85,739.85,739.85,739.85,124,741.10
20-Dec-2019,15:44:47,739.85,739.85,739.85,739.85,403,741.10
20-Dec-2019,15:43:53,739.85,739.85,739.85,739.85,50,741.10
20-Dec-2019,15:42:28,739.85,739.85,739.85,739.85,200,741.10
20-Dec-2019,15:40:50,739.85,739.85,739.85,739.85,829,741.10
20-Dec-2019,15:29:59,738.65,739.85,738.00,739.85,28798,741.10
20-Dec-2019,15:28:58,738.55,739.00,738.55,738.95,76863,741.11
20-Dec-2019,15:27:58,738.95,738.95,738.10,738.55,89021,741.14
20-Dec-2019,15:26:59,739.25,739.30,738.80,738.90,68538,741.17
20-Dec-2019,15:25:58,739.35,739.45,739.25,739.30,83304,741.19
20-Dec-2019,15:24:59,739.40,739.45,739.35,739.40,78826,741.22
20-Dec-2019,15:23:58,739.45,739.55,739.40,739.45,84796,741.24
20-Dec-2019,15:22:59,740.00,740.00,739.45,739.55,81022,741.26
20-Dec-2019,15:21:59,739.90,740.00,739.70,740.00,105574,741.28
20-Dec-2019,15:20:59,739.85,739.95,739.85,739.90,69394,741.31
20-Dec-2019,15:19:59,739.75,740.00,739.75,739.95,75790,741.32
20-Dec-2019,15:18:59,739.65,739.75,739.65,739.75,75479,741.34
20-Dec-2019,15:17:59,739.65,739.70,739.60,739.70,84796,741.36
20-Dec-2019,15:16:58,739.20,739.65,739.10,739.65,116331,741.38
20-Dec-2019,15:15:59,739.75,739.90,739.10,739.20,182120,741.43
20-Dec-2019,15:14:59,739.85,739.90,739.85,739.85,63589,741.48
20-Dec-2019,15:13:59,739.85,739.90,739.85,739.90,61095,741.50
20-Dec-2019,15:12:59,740.00,740.00,739.85,739.85,87630,741.52
20-Dec-2019,15:11:58,740.05,740.10,740.00,740.05,73654,741.54
20-Dec-2019,15:10:59,740.45,740.50,740.05,740.05,79791,741.56
20-Dec-2019,15:09:58,740.40,740.55,740.15,740.45,88139,741.58
20-Dec-2019,15:08:59,740.70,740.75,740.10,740.45,110325,741.60
20-Dec-2019,15:07:58,740.80,740.95,740.70,740.70,64152,741.63
20-Dec-2019,15:06:58,740.85,740.90,740.80,740.85,66713,741.64
20-Dec-2019,15:05:59,740.90,740.95,740.80,740.80,62581,741.65
20-Dec-2019,15:04:59,740.95,741.00,740.90,740.95,62479,741.66
20-Dec-2019,15:03:58,740.90,741.00,740.90,741.00,50765,741.67
20-Dec-2019,15:02:59,740.90,741.00,740.90,740.90,42673,741.67
20-Dec-2019,15:01:59,740.00,741.00,739.95,741.00,110619,741.68
20-Dec-2019,15:00:59,739.55,740.00,739.55,739.95,59784,741.71
20-Dec-2019,14:59:59,739.70,739.75,739.10,739.50,19970,741.74
20-Dec-2019,14:58:59,739.85,739.85,739.40,739.60,8586,741.75
20-Dec-2019,14:57:58,739.45,739.85,739.45,739.85,15789,741.75
20-Dec-2019,14:56:58,739.50,739.80,739.10,739.70,8841,741.76
20-Dec-2019,14:55:59,739.45,739.50,739.30,739.30,6581,741.76
20-Dec-2019,14:54:58,739.75,739.75,739.30,739.50,3928,741.76
20-Dec-2019,14:53:58,739.90,739.90,739.50,739.75,6511,741.77
20-Dec-2019,14:52:58,739.95,739.95,739.80,739.90,10990,741.77
20-Dec-2019,14:51:59,739.80,740.00,739.80,739.95,9721,741.77
20-Dec-2019,14:50:58,739.85,739.90,739.55,739.75,10052,741.78
20-Dec-2019,14:49:59,740.00,740.00,739.70,739.90,7526,741.78
20-Dec-2019,14:48:59,739.65,740.00,739.35,740.00,12812,741.79
20-Dec-2019,14:47:58,739.65,739.75,739.40,739.65,10012,741.79
20-Dec-2019,14:46:58,739.30,739.30,739.00,739.25,10048,741.80
20-Dec-2019,14:45:59,739.60,739.65,739.25,739.30,10349,741.80
20-Dec-2019,14:44:59,739.60,739.65,739.50,739.60,6113,741.81
20-Dec-2019,14:43:58,739.65,739.65,739.40,739.60,4439,741.81
