DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:50:25,3203.75,3203.75,3203.75,3203.75,24,3214.59
20-Dec-2019,15:40:05,3203.75,3203.75,3203.75,3203.75,2,3214.59
20-Dec-2019,15:29:59,3201.00,3203.95,3198.05,3203.75,1782,3214.59
20-Dec-2019,15:28:57,3199.65,3201.95,3199.65,3201.00,1933,3214.67
20-Dec-2019,15:27:54,3198.90,3200.25,3197.60,3199.00,6162,3214.77
20-Dec-2019,15:26:58,3201.65,3201.65,3198.70,3198.90,3004,3215.10
20-Dec-2019,15:25:59,3199.00,3201.95,3198.20,3201.95,5755,3215.26
20-Dec-2019,15:24:58,3200.85,3200.85,3198.90,3198.90,4170,3215.58
20-Dec-2019,15:23:59,3199.60,3202.45,3199.40,3200.75,5861,3215.82
20-Dec-2019,15:22:58,3199.55,3200.65,3199.00,3199.30,4613,3216.14
20-Dec-2019,15:21:59,3205.15,3205.15,3198.75,3199.75,12114,3216.42
20-Dec-2019,15:20:58,3205.10,3205.20,3205.10,3205.10,4672,3217.14
20-Dec-2019,15:19:58,3205.35,3206.00,3205.10,3205.10,4291,3217.36
20-Dec-2019,15:18:59,3205.10,3205.35,3205.10,3205.35,5830,3217.56
20-Dec-2019,15:17:59,3207.50,3208.60,3205.10,3205.15,3808,3217.85
20-Dec-2019,15:16:59,3206.85,3209.95,3205.55,3207.50,3287,3218.04
20-Dec-2019,15:15:58,3205.80,3206.85,3204.00,3205.35,7242,3218.20
20-Dec-2019,15:14:58,3207.65,3207.65,3205.10,3205.50,2829,3218.63
20-Dec-2019,15:13:58,3207.45,3208.90,3207.05,3207.50,3298,3218.79
20-Dec-2019,15:12:58,3200.05,3208.00,3200.00,3207.50,7564,3218.96
20-Dec-2019,15:11:59,3200.00,3200.05,3199.90,3200.00,7857,3219.55
20-Dec-2019,15:10:59,3200.05,3200.05,3200.00,3200.05,4534,3220.29
20-Dec-2019,15:09:59,3201.05,3201.05,3200.00,3200.00,4382,3220.74
20-Dec-2019,15:08:59,3202.25,3202.25,3199.30,3201.10,3746,3221.19
20-Dec-2019,15:07:58,3203.85,3203.85,3199.00,3200.70,5290,3221.58
20-Dec-2019,15:06:59,3209.55,3209.55,3202.85,3202.90,5260,3222.15
20-Dec-2019,15:05:58,3211.05,3211.05,3209.50,3209.50,3948,3222.55
20-Dec-2019,15:04:58,3211.60,3211.85,3211.00,3211.00,3470,3222.82
20-Dec-2019,15:03:58,3211.60,3212.05,3211.50,3211.60,3683,3223.04
20-Dec-2019,15:02:58,3211.50,3212.05,3211.50,3212.05,3768,3223.28
20-Dec-2019,15:01:58,3211.55,3212.05,3211.50,3211.80,4186,3223.54
20-Dec-2019,15:00:58,3212.00,3213.45,3211.55,3211.55,3573,3223.83
