DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:51:30,15023.85,15023.85,15023.85,15023.85,1,15077.69
20-Dec-2019,15:50:48,15023.85,15023.85,15023.85,15023.85,8,15077.70
20-Dec-2019,15:49:43,15023.85,15023.85,15023.85,15023.85,11,15077.72
20-Dec-2019,15:48:53,15023.85,15023.85,15023.85,15023.85,5,15077.75
20-Dec-2019,15:29:58,14969.20,15023.85,14950.00,15023.85,149,15077.76
20-Dec-2019,15:28:56,14988.60,14990.00,14955.55,14990.00,179,15078.54
20-Dec-2019,15:27:54,15004.50,15008.60,14951.00,14968.95,722,15079.44
20-Dec-2019,15:26:59,14972.50,15021.45,14972.50,15006.05,460,15083.08
20-Dec-2019,15:25:55,14983.90,14983.95,14969.05,14976.55,413,15085.16
20-Dec-2019,15:24:59,15000.45,15000.45,14975.25,14983.95,587,15087.42
20-Dec-2019,15:23:59,15022.70,15022.70,14998.05,15004.05,259,15090.68
20-Dec-2019,15:22:59,14990.05,15022.70,14985.90,15018.60,633,15091.76
20-Dec-2019,15:21:59,15041.95,15041.95,14999.25,15006.20,764,15095.14
20-Dec-2019,15:20:59,15059.85,15059.85,15035.35,15041.95,253,15098.93
20-Dec-2019,15:19:55,15052.85,15079.80,15038.30,15066.75,439,15099.74
20-Dec-2019,15:18:58,14961.40,15058.95,14957.90,15043.70,751,15100.77
20-Dec-2019,15:17:59,14976.55,14976.55,14955.10,14961.45,719,15107.09
20-Dec-2019,15:16:59,14984.15,14993.85,14973.10,14976.10,476,15114.09
20-Dec-2019,15:15:56,15007.60,15007.75,14964.25,14983.25,615,15118.41
20-Dec-2019,15:14:59,15010.05,15023.80,15000.00,15007.10,423,15123.92
20-Dec-2019,15:13:59,15030.85,15030.85,15010.45,15010.45,574,15127.56
20-Dec-2019,15:12:57,15030.80,15030.85,15030.80,15030.85,197,15131.98
20-Dec-2019,15:11:59,15007.95,15030.85,15005.90,15030.85,787,15133.59
20-Dec-2019,15:10:59,15040.00,15040.05,15000.05,15007.95,566,15140.76
20-Dec-2019,15:09:58,15062.95,15062.95,15040.00,15040.05,422,15147.19
20-Dec-2019,15:08:56,15077.35,15077.35,15052.00,15053.05,329,15150.98
20-Dec-2019,15:07:57,15085.00,15085.00,15061.35,15062.20,439,15153.69
20-Dec-2019,15:06:59,15085.10,15089.25,15085.00,15085.05,315,15157.00
20-Dec-2019,15:05:56,15109.80,15109.80,15090.00,15090.00,288,15159.33
20-Dec-2019,15:04:59,15108.35,15110.60,15108.35,15109.75,142,15161.04
20-Dec-2019,15:03:56,15125.60,15128.15,15107.30,15108.25,476,15161.83
20-Dec-2019,15:02:56,15139.75,15147.85,15123.10,15125.55,198,15163.98
20-Dec-2019,15:01:56,15100.05,15150.00,15100.00,15149.75,189,15164.59
20-Dec-2019,15:00:58,15151.10,15159.85,15100.05,15105.70,366,15165.81
20-Dec-2019,14:59:56,15160.00,15160.00,15131.10,15151.05,185,15167.57
20-Dec-2019,14:58:56,15148.00,15159.00,15132.90,15159.00,119,15167.83
20-Dec-2019,14:57:59,15132.35,15146.45,15130.30,15136.30,72,15168.05
20-Dec-2019,14:56:56,15148.65,15160.00,15137.75,15137.75,87,15168.32
20-Dec-2019,14:55:56,15152.40,15160.00,15146.60,15147.55,180,15168.47
20-Dec-2019,14:54:56,15120.50,15160.00,15120.50,15143.00,248,15168.70
20-Dec-2019,14:53:56,15129.25,15129.25,15121.70,15121.70,5,15169.52
20-Dec-2019,14:52:56,15128.00,15128.00,15117.45,15126.65,41,15169.56
20-Dec-2019,14:51:56,15140.00,15140.00,15127.50,15127.50,37,15169.81
20-Dec-2019,14:50:56,15121.90,15137.25,15121.90,15126.90,57,15169.98
20-Dec-2019,14:49:56,15117.40,15121.90,15117.40,15119.05,6,15170.31
20-Dec-2019,14:48:56,15120.05,15128.75,15113.50,15117.45,28,15170.36
20-Dec-2019,14:47:56,15120.00,15144.95,15120.00,15120.15,52,15170.56
20-Dec-2019,14:46:56,15120.00,15120.00,15110.30,15111.10,29,15170.83
20-Dec-2019,14:45:56,15110.30,15121.00,15109.95,15113.70,40,15171.06
20-Dec-2019,14:44:57,15121.90,15121.95,15107.60,15121.90,13,15171.37
20-Dec-2019,14:43:56,15135.35,15136.90,15121.05,15121.05,12,15171.47
20-Dec-2019,14:42:56,15095.85,15130.00,15090.90,15130.00,54,15171.55
20-Dec-2019,14:41:56,15100.00,15105.00,15092.90,15093.95,9,15172.10
20-Dec-2019,14:40:56,15084.85,15105.00,15084.85,15100.00,127,15172.20
