DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:50:18,1475.10,1475.10,1475.10,1475.10,50,1471.75
20-Dec-2019,15:44:23,1475.10,1475.10,1475.10,1475.10,6,1471.75
20-Dec-2019,15:42:05,1475.10,1475.10,1475.10,1475.10,6,1471.75
20-Dec-2019,15:41:55,1475.10,1475.10,1475.10,1475.10,59,1471.75
20-Dec-2019,15:40:52,1475.10,1475.10,1475.10,1475.10,303,1471.75
20-Dec-2019,15:29:58,1480.65,1481.40,1475.10,1475.10,1166,1471.75
20-Dec-2019,15:28:59,1479.00,1480.65,1477.55,1480.65,3774,1471.74
20-Dec-2019,15:27:58,1480.40,1482.50,1476.25,1478.25,14439,1471.71
20-Dec-2019,15:26:57,1481.30,1481.35,1480.20,1480.50,10333,1471.59
20-Dec-2019,15:25:59,1485.00,1485.00,1481.40,1481.40,5658,1471.48
20-Dec-2019,15:24:59,1482.90,1485.00,1482.70,1485.00,12268,1471.41
20-Dec-2019,15:23:59,1481.60,1483.00,1481.60,1482.90,10910,1471.23
20-Dec-2019,15:22:59,1482.65,1482.85,1481.00,1481.65,8362,1471.09
20-Dec-2019,15:21:56,1482.30,1482.90,1482.10,1482.90,9876,1470.98
20-Dec-2019,15:20:58,1480.75,1482.85,1480.60,1482.20,14775,1470.84
20-Dec-2019,15:19:58,1478.00,1480.90,1478.00,1480.65,9820,1470.65
20-Dec-2019,15:18:58,1477.10,1479.00,1477.10,1478.55,8181,1470.54
20-Dec-2019,15:17:59,1477.05,1477.05,1475.85,1476.60,9605,1470.47
20-Dec-2019,15:16:58,1477.65,1479.15,1475.65,1476.45,13393,1470.39
20-Dec-2019,15:15:56,1477.00,1478.55,1477.00,1477.55,11707,1470.26
20-Dec-2019,15:14:59,1474.50,1477.00,1474.50,1477.00,7157,1470.14
20-Dec-2019,15:13:57,1474.90,1475.00,1474.20,1474.20,9207,1470.10
20-Dec-2019,15:12:58,1475.75,1475.75,1474.60,1474.90,10607,1470.04
20-Dec-2019,15:11:59,1470.45,1477.00,1470.45,1475.75,22106,1469.96
20-Dec-2019,15:10:56,1469.00,1470.45,1468.95,1470.45,8451,1469.82
20-Dec-2019,15:09:56,1471.50,1473.00,1468.70,1468.95,25890,1469.83
20-Dec-2019,15:08:58,1469.75,1471.00,1469.30,1471.00,6154,1469.84
20-Dec-2019,15:07:56,1470.00,1470.00,1469.20,1469.75,13884,1469.84
20-Dec-2019,15:06:58,1468.75,1470.00,1468.55,1469.70,7145,1469.84
20-Dec-2019,15:05:59,1469.00,1469.20,1467.25,1468.75,14198,1469.85
20-Dec-2019,15:04:59,1469.70,1470.00,1469.20,1469.45,9063,1469.88
20-Dec-2019,15:03:58,1469.90,1470.00,1469.45,1469.45,12832,1469.89
20-Dec-2019,15:02:57,1469.15,1470.00,1469.15,1469.90,6464,1469.88
20-Dec-2019,15:01:56,1469.00,1470.00,1468.95,1469.30,10587,1469.88
20-Dec-2019,15:00:58,1468.70,1469.00,1468.30,1469.00,10967,1469.90
20-Dec-2019,14:59:58,1466.50,1468.70,1466.50,1468.25,2121,1469.92
