DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-2019,15:55:30,581.45,581.45,581.45,581.45,1,580.99
20-Dec-2019,15:54:04,581.45,581.45,581.45,581.45,15,580.99
20-Dec-2019,15:49:19,581.45,581.45,581.45,581.45,20,580.99
20-Dec-2019,15:47:29,581.45,581.45,581.45,581.45,836,580.99
20-Dec-2019,15:45:18,581.45,581.45,581.45,581.45,80,580.98
20-Dec-2019,15:44:00,581.45,581.45,581.45,581.45,355,580.98
20-Dec-2019,15:40:25,581.45,581.45,581.45,581.45,215,580.98
20-Dec-2019,15:29:58,580.80,581.45,580.20,581.45,6958,580.98
20-Dec-2019,15:28:55,580.50,581.20,580.00,581.15,9127,580.99
20-Dec-2019,15:27:58,581.25,581.25,580.15,580.60,20495,580.99
20-Dec-2019,15:26:59,581.45,581.60,581.25,581.25,9556,581.00
20-Dec-2019,15:25:58,581.25,581.90,581.20,581.40,11504,580.99
20-Dec-2019,15:24:59,580.05,581.35,580.05,581.35,14539,580.99
20-Dec-2019,15:23:59,580.05,580.15,580.00,580.15,21720,581.00
20-Dec-2019,15:22:59,580.10,580.15,580.00,580.05,23086,581.01
20-Dec-2019,15:21:57,581.10,581.10,580.10,580.10,10217,581.02
20-Dec-2019,15:20:57,581.40,581.55,581.10,581.10,14456,581.03
20-Dec-2019,15:19:59,581.50,581.60,581.20,581.50,15982,581.02
20-Dec-2019,15:18:57,581.70,581.70,581.00,581.60,20369,581.02
20-Dec-2019,15:17:58,581.55,581.75,581.05,581.75,16190,581.01
20-Dec-2019,15:16:58,581.60,581.80,581.20,581.75,12999,581.01
20-Dec-2019,15:15:58,581.85,581.85,581.20,581.65,19867,581.00
20-Dec-2019,15:14:59,582.20,582.25,581.70,582.05,12110,580.99
20-Dec-2019,15:13:59,582.20,582.25,582.00,582.20,14471,580.98
20-Dec-2019,15:12:59,582.40,582.40,582.15,582.15,11302,580.97
20-Dec-2019,15:11:59,581.20,582.40,581.20,582.40,6910,580.96
20-Dec-2019,15:10:59,581.75,581.80,581.20,581.55,15768,580.95
20-Dec-2019,15:09:59,582.75,582.80,581.45,581.80,23318,580.94
20-Dec-2019,15:08:59,582.40,582.80,582.40,582.75,11466,580.93
20-Dec-2019,15:07:58,581.75,582.60,581.75,582.45,6627,580.91
20-Dec-2019,15:06:58,581.45,582.00,581.40,582.00,14088,580.90
20-Dec-2019,15:05:59,581.70,581.75,580.55,581.45,20232,580.90
20-Dec-2019,15:04:59,581.85,581.90,581.70,581.75,10329,580.89
20-Dec-2019,15:03:59,581.55,581.90,581.55,581.90,6546,580.88
20-Dec-2019,15:02:59,582.80,582.85,581.25,581.70,12181,580.87
20-Dec-2019,15:01:59,583.00,583.00,582.70,582.80,9010,580.86
20-Dec-2019,15:00:59,582.40,583.00,582.40,583.00,11481,580.85
20-Dec-2019,14:59:58,582.20,582.40,581.85,582.40,1437,580.83
20-Dec-2019,14:58:57,582.50,582.50,581.85,582.00,1254,580.83
20-Dec-2019,14:57:59,582.45,582.50,582.00,582.50,2678,580.83
20-Dec-2019,14:56:58,582.10,582.45,582.10,582.45,2736,580.82
20-Dec-2019,14:55:59,582.05,582.45,582.05,582.25,1400,580.82
20-Dec-2019,14:54:59,582.30,582.50,582.30,582.45,2148,580.82
20-Dec-2019,14:53:59,582.00,582.45,581.95,582.40,2000,580.82
20-Dec-2019,14:52:57,582.25,582.25,581.70,581.90,1899,580.81
20-Dec-2019,14:51:56,581.65,582.35,581.65,582.25,961,580.81
20-Dec-2019,14:50:56,582.45,582.45,581.70,582.00,2277,580.81
20-Dec-2019,14:49:57,581.80,582.45,581.65,582.45,4544,580.81
20-Dec-2019,14:48:59,581.60,582.30,581.60,582.30,1580,580.80
20-Dec-2019,14:47:59,581.60,582.15,581.60,581.70,1149,580.80
20-Dec-2019,14:46:59,581.95,582.25,581.65,582.00,2495,580.80
20-Dec-2019,14:45:56,581.75,582.00,581.65,581.95,1095,580.80
20-Dec-2019,14:44:56,581.75,582.00,581.60,582.00,1204,580.80
20-Dec-2019,14:43:56,581.60,581.90,581.60,581.75,641,580.80
20-Dec-2019,14:42:57,582.30,582.30,581.70,581.90,1603,580.80
20-Dec-2019,14:41:56,582.10,582.80,582.00,582.30,987,580.80
20-Dec-2019,14:40:56,581.90,582.95,581.90,582.85,1855,580.79
20-Dec-2019,14:39:59,581.40,581.95,581.40,581.90,1138,580.79
20-Dec-2019,14:38:59,581.90,582.00,581.45,581.90,3583,580.79
20-Dec-2019,14:37:59,582.05,582.30,581.60,582.00,3117,580.79
20-Dec-2019,14:36:59,582.75,582.90,582.10,582.10,1267,580.78
20-Dec-2019,14:35:59,582.80,583.00,582.05,582.70,3721,580.78
20-Dec-2019,14:34:59,582.90,583.00,582.70,583.00,3239,580.78
20-Dec-2019,14:33:57,582.30,582.90,582.20,582.90,2432,580.77
20-Dec-2019,14:32:59,582.90,582.90,582.50,582.50,1264,580.77
20-Dec-2019,14:31:57,583.25,583.45,582.50,582.90,2361,580.77
20-Dec-2019,14:30:58,582.30,583.50,582.30,583.50,18307,580.76
20-Dec-2019,14:29:58,581.15,582.30,581.10,582.30,9306,580.72
20-Dec-2019,14:28:56,581.50,581.55,581.35,581.55,1318,580.72
20-Dec-2019,14:27:58,581.50,581.60,581.10,581.55,2763,580.72
20-Dec-2019,14:26:56,581.65,581.70,581.25,581.70,1622,580.71
