,DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
0,20-12-2019,15:57:02,372.3,372.3,372.3,372.3,30,374.72
1,20-12-2019,11:20:59,377.65,377.75,377.55,377.7,19503,375.78
2,20-12-2019,09:16:59,371.5,372.8,371.5,372.75,22425,371.53
3,20-12-2019,09:15:58,370.8,372.0,370.8,371.45,26007,371.24
4,19-12-2019,09:20:00,373.45,373.75,373.05,373.75,12785,0.0
5,19-12-2019,09:17:00,373.5,373.5,372.75,372.8,5985,0.0
6,19-12-2019,09:16:00,373.0,373.7,372.95,373.15,18558,0.0
7,18-12-2019,12:51:00,375.1,375.5,375.1,375.35,14310,0.0
8,18-12-2019,09:18:00,373.1,373.1,372.95,373.05,21661,0.0
9,18-12-2019,09:17:00,372.25,373.0,372.25,373.0,20331,0.0
10,17-12-2019,11:33:00,372.55,372.75,372.55,372.75,10108,0.0
11,17-12-2019,09:19:00,369.5,369.5,368.5,368.65,25187,0.0
12,17-12-2019,09:18:00,369.45,369.95,369.35,369.65,33889,0.0
13,16-12-2019,09:16:00,375.1,375.5,374.65,375.5,16736,0.0
14,16-12-2019,09:20:00,374.9,374.9,373.3,373.3,17039,0.0
15,16-12-2019,09:19:00,374.3,374.9,374.0,374.75,16292,0.0
16,13-12-2019,13:51:00,380.2,380.9,380.0,380.3,47558,0.0
17,13-12-2019,09:21:00,375.5,375.5,374.85,375.05,9897,0.0
18,13-12-2019,09:20:00,374.5,375.55,374.5,375.5,8809,0.0
19,12-12-2019,09:45:00,375.55,376.5,375.5,376.25,27865,0.0
20,12-12-2019,09:22:00,374.0,375.6,374.0,375.15,29801,0.0
21,12-12-2019,09:21:00,374.15,374.6,373.85,374.0,23692,0.0
22,11-12-2019,15:11:00,370.3,370.7,370.25,370.45,14187,0.0
23,11-12-2019,09:23:00,368.1,368.3,368.0,368.1,3506,0.0
24,11-12-2019,09:22:00,368.0,368.35,367.8,368.3,2901,0.0
25,10-12-2019,09:48:00,375.2,375.2,374.9,375.2,10085,0.0
26,10-12-2019,09:24:00,372.95,373.25,372.95,373.05,4560,0.0
27,10-12-2019,09:23:00,372.35,373.0,372.2,372.85,9661,0.0
28,09-12-2019,11:31:00,377.0,377.5,376.95,377.5,39904,0.0
29,09-12-2019,09:25:00,366.65,366.7,365.4,365.75,33773,0.0
30,09-12-2019,09:24:00,366.15,366.6,366.15,366.45,32935,0.0
31,06-12-2019,09:16:00,371.0,371.3,370.7,371.05,30497,0.0
32,06-12-2019,09:26:00,369.5,369.85,369.4,369.85,5289,0.0
33,06-12-2019,09:25:00,369.3,370.0,369.0,369.65,32108,0.0
34,05-12-2019,13:37:00,372.8,373.6,372.75,373.4,29296,0.0
35,05-12-2019,09:27:00,367.95,368.3,367.85,368.2,12574,0.0
36,05-12-2019,09:26:00,368.3,368.3,367.75,367.95,27626,0.0
37,04-12-2019,10:56:00,369.45,370.0,369.35,369.85,54241,0.0
38,04-12-2019,09:28:00,362.6,362.8,362.3,362.55,16027,0.0
39,04-12-2019,09:27:00,361.4,362.7,361.4,362.55,23494,0.0
