DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
20-Dec-19,15:52:07,1799.25,1799.25,1799.25,1799.25,10,1800.23
20-Dec-19,15:44:15,1799.25,1799.25,1799.25,1799.25,20,1800.23
20-Dec-19,15:29:59,1801,1808,1799.25,1799.25,13343,1800.23
20-Dec-19,15:28:58,1801.4,1804.9,1800.1,1801.45,10374,1800.2
20-Dec-19,15:27:57,1806,1806.25,1801.2,1802.25,18394,1800.2
20-Dec-19,15:26:59,1801,1805,1801,1804.5,26453,1800.14
20-Dec-19,15:25:59,1800.35,1801.4,1800.2,1801.35,16080,1800.08
20-Dec-19,15:24:58,1799.95,1801.55,1799.95,1800.4,22930,1800.07
20-Dec-19,15:23:59,1800,1800.2,1799.95,1799.95,21386,1800.07
20-Dec-19,15:22:58,1797.6,1800.5,1797.6,1799.7,21947,1800.08
20-Dec-19,15:21:59,1798.8,1798.85,1797.35,1797.6,13158,1800.09
20-Dec-19,15:20:59,1798.85,1798.9,1798.7,1798.9,15312,1800.11
20-Dec-19,15:19:58,1798.75,1799.4,1798.65,1798.9,9022,1800.13
20-Dec-19,15:18:58,1798.3,1799.45,1798.3,1798.85,10590,1800.14
20-Dec-19,15:17:59,1796.75,1798.95,1796.75,1798.3,19295,1800.15
20-Dec-19,15:16:59,1797,1797.15,1796.8,1797,16998,1800.2
20-Dec-19,15:15:58,1797.95,1798.55,1797,1797,12366,1800.24
20-Dec-19,15:14:59,1798.25,1798.55,1797,1797.95,17852,1800.27
20-Dec-19,15:13:58,1798.45,1798.45,1798.25,1798.25,8133,1800.32
20-Dec-19,15:12:59,1797.4,1798.75,1797.4,1798.4,10348,1800.33
20-Dec-19,15:11:58,1796,1798.3,1796,1797.4,18320,1800.35
20-Dec-19,15:10:59,1796.95,1797,1796,1796.05,19788,1800.41
20-Dec-19,15:09:58,1798,1798,1796.95,1796.95,11178,1800.48
20-Dec-19,15:08:59,1799.9,1799.9,1798,1798,8712,1800.52
20-Dec-19,15:07:59,1799.9,1800,1798.7,1799.95,14140,1800.52
20-Dec-19,15:06:59,1799.55,1800,1797.8,1799.3,15802,1800.54
20-Dec-19,15:05:59,1797.95,1800,1797.7,1799.6,6402,1800.56
20-Dec-19,15:04:59,1797.25,1798.6,1797.25,1797.95,18607,1800.57
20-Dec-19,15:03:58,1799.35,1799.4,1797.25,1797.25,13110,1800.63
20-Dec-19,15:02:59,1799.55,1799.6,1799.35,1799.4,7646,1800.66
20-Dec-19,15:01:59,1798.15,1800,1798.1,1799.6,9641,1800.67
20-Dec-19,15:00:59,1800.25,1801.2,1798.9,1798.9,13555,1800.68
20-Dec-19,14:59:59,1801,1801.05,1800.25,1800.25,4422,1800.69
20-Dec-19,14:58:59,1801,1801.05,1801,1801.05,2269,1800.69
20-Dec-19,14:57:59,1800.5,1802,1800.25,1801,2975,1800.69
20-Dec-19,14:56:59,1800.15,1800.5,1800.15,1800.5,1789,1800.68
20-Dec-19,14:55:59,1800,1800.85,1800,1800.15,3173,1800.69
20-Dec-19,14:54:57,1798.55,1799.65,1798.55,1799.65,1633,1800.69
20-Dec-19,14:53:58,1798.9,1798.9,1798.5,1798.55,1300,1800.69
20-Dec-19,14:52:59,1798.9,1799.15,1798.5,1798.6,1137,1800.69
20-Dec-19,14:51:59,1798.9,1798.95,1798.9,1798.9,643,1800.7
20-Dec-19,14:50:58,1798.65,1799.4,1798.4,1798.85,972,1800.7
20-Dec-19,14:49:57,1798.45,1799.5,1798.05,1798.45,920,1800.7
20-Dec-19,14:48:58,1797.3,1799.9,1797,1799.3,2395,1800.7
20-Dec-19,14:47:58,1797.85,1798,1797.35,1797.35,642,1800.71
20-Dec-19,14:46:58,1797.65,1798.25,1797.5,1797.85,2338,1800.71
20-Dec-19,14:45:59,1798.05,1798.25,1797.5,1797.65,2463,1800.72
20-Dec-19,14:44:56,1798.5,1798.6,1797.6,1798.25,1274,1800.72
20-Dec-19,14:43:58,1798,1798.35,1796.7,1798.35,6854,1800.73
20-Dec-19,14:42:58,1799.6,1800,1798.1,1798.1,3726,1800.75
20-Dec-19,14:41:56,1799.05,1799.95,1799.05,1799.5,1306,1800.76
20-Dec-19,14:40:59,1799.2,1799.7,1798.75,1799.05,1612,1800.76
20-Dec-19,14:39:59,1800,1800,1798.95,1799.3,2296,1800.76
20-Dec-19,14:38:58,1800,1800.95,1800,1800.05,3176,1800.76
20-Dec-19,14:37:59,1800.1,1800.5,1800,1800,3337,1800.77
20-Dec-19,14:36:59,1800.45,1800.65,1800,1800.5,1668,1800.77
20-Dec-19,14:35:58,1799.65,1801.85,1799.15,1800.6,4028,1800.77
20-Dec-19,14:34:57,1800.1,1800.4,1800,1800,2151,1800.77
20-Dec-19,14:33:57,1801.2,1801.3,1800.15,1800.6,1277,1800.77
20-Dec-19,14:32:58,1801.6,1802,1801.1,1801.15,1937,1800.77
20-Dec-19,14:31:58,1803,1803.05,1802,1802,3640,1800.77
20-Dec-19,14:30:59,1803.05,1804.05,1803,1803,3343,1800.76
20-Dec-19,14:29:59,1805.5,1805.6,1803.2,1803.75,3025,1800.75
20-Dec-19,14:28:59,1805.6,1806,1805,1805.5,3039,1800.74
20-Dec-19,14:27:58,1805.3,1806.55,1805,1806,3916,1800.72
20-Dec-19,14:26:59,1803.75,1806.5,1803.55,1805,9645,1800.7
20-Dec-19,14:25:58,1804.15,1804.2,1803.35,1803.35,2335,1800.66
20-Dec-19,14:24:59,1802.5,1804.8,1801.15,1804.15,19200,1800.65
20-Dec-19,14:23:55,1801.6,1802.9,1801,1802.4,5550,1800.58
20-Dec-19,14:22:59,1799.05,1802.5,1799,1802.5,8336,1800.57
20-Dec-19,14:21:57,1799.05,1799.2,1799,1799.05,809,1800.57
20-Dec-19,14:20:56,1799,1799.3,1799,1799.15,1286,1800.57
20-Dec-19,14:19:51,1797.7,1799.4,1797.65,1799.1,3702,1800.58
20-Dec-19,14:18:59,1797.55,1797.65,1797.5,1797.65,1228,1800.59
20-Dec-19,14:17:58,1797.55,1797.8,1797.5,1797.5,1639,1800.59
20-Dec-19,14:16:59,1797.05,1797.55,1797.05,1797.55,868,1800.6
20-Dec-19,14:15:57,1797,1797.2,1797,1797.05,671,1800.6
20-Dec-19,14:14:53,1797.15,1797.15,1797,1797,1532,1800.6
20-Dec-19,14:13:57,1797.45,1797.55,1797,1797.15,1012,1800.61
20-Dec-19,14:12:54,1797.45,1797.8,1797.45,1797.45,921,1800.61
20-Dec-19,14:11:56,1798,1798.3,1797.45,1797.7,1384,1800.62
20-Dec-19,14:10:57,1797.15,1798.2,1797.05,1797.95,1219,1800.62
20-Dec-19,14:09:57,1797.05,1798,1797.05,1797.95,804,1800.63
