,DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
0,20-12-2019,15:59:31,739.85,739.85,739.85,739.85,1,741.1
1,20-12-2019,09:19:59,744.7,745.7,744.55,745.55,30182,744.54
2,20-12-2019,09:16:59,744.35,744.7,743.2,743.95,40983,744.43
3,20-12-2019,09:15:59,744.85,747.0,743.45,744.3,57230,744.73
4,19-12-2019,09:25:00,749.6,749.6,748.65,749.3,57929,0.0
5,19-12-2019,09:17:00,744.15,746.15,744.1,746.05,73426,0.0
6,19-12-2019,09:16:00,743.0,744.5,743.0,744.1,64412,0.0
7,18-12-2019,09:49:00,744.95,748.55,744.85,747.9,133725,0.0
8,18-12-2019,09:18:00,743.9,743.9,742.2,742.25,41145,0.0
9,18-12-2019,09:17:00,743.1,744.0,743.0,743.95,33558,0.0
10,17-12-2019,10:39:00,755.9,756.0,755.35,755.95,33492,0.0
11,17-12-2019,09:19:00,745.85,747.8,745.85,747.75,65708,0.0
12,17-12-2019,09:18:00,746.5,746.5,745.0,745.55,79549,0.0
13,16-12-2019,09:17:00,752.15,754.7,752.15,753.4,124835,0.0
14,16-12-2019,09:20:00,750.15,750.4,748.75,749.5,68278,0.0
15,16-12-2019,09:19:00,751.75,751.75,750.0,750.3,71564,0.0
16,13-12-2019,15:22:00,752.5,753.15,751.8,752.9,144305,0.0
17,13-12-2019,09:21:00,726.65,727.0,726.5,726.8,21862,0.0
18,13-12-2019,09:20:00,726.35,726.85,725.8,726.65,50361,0.0
19,12-12-2019,15:01:00,723.95,724.9,723.85,724.85,37630,0.0
20,12-12-2019,09:22:00,719.85,720.6,719.35,720.3,30978,0.0
21,12-12-2019,09:21:00,719.8,720.65,719.6,719.6,28678,0.0
22,11-12-2019,10:16:00,721.85,722.2,721.8,722.2,20432,0.0
23,11-12-2019,09:23:00,717.95,718.75,717.95,718.0,49095,0.0
24,11-12-2019,09:22:00,715.4,718.95,715.4,717.95,75351,0.0
25,10-12-2019,09:16:00,731.1,731.75,729.35,731.0,58161,0.0
26,10-12-2019,09:24:00,728.0,728.0,727.5,727.75,33476,0.0
27,10-12-2019,09:23:00,727.55,727.95,727.2,727.55,28176,0.0
28,09-12-2019,15:21:00,733.55,733.8,733.1,733.6,45803,0.0
29,09-12-2019,09:25:00,712.6,713.05,712.3,713.0,25004,0.0
30,09-12-2019,09:24:00,713.0,713.2,712.55,712.85,25714,0.0
31,06-12-2019,09:36:00,735.0,735.1,734.7,735.0,15893,0.0
32,06-12-2019,09:26:00,732.4,732.4,731.9,732.25,14647,0.0
33,06-12-2019,09:25:00,732.0,732.5,731.9,732.1,13977,0.0
34,05-12-2019,09:23:00,743.45,744.3,743.25,744.2,59280,0.0
35,05-12-2019,09:27:00,743.5,743.7,743.25,743.25,15473,0.0
36,05-12-2019,09:26:00,743.5,743.75,743.05,743.4,20056,0.0
37,04-12-2019,10:46:00,744.95,746.9,744.95,746.85,126696,0.0
38,04-12-2019,09:28:00,731.6,731.9,731.5,731.8,18643,0.0
39,04-12-2019,09:27:00,730.6,732.3,730.6,731.45,29067,0.0
40,08-11-2019,10:06:00,734.55,735.75,734.55,735.2,74873,0.0
41,08-11-2019,09:29:00,731.05,731.5,730.3,730.7,43109,0.0
